이벤트연도,이벤트수,평균기사수,return_30d_avg,excess_30d_avg,return_90d_avg,excess_90d_avg,return_180d_avg,excess_180d_avg,return_365d_avg,excess_365d_avg,min_return_1y_avg,max_return_1y_avg,min_excess_1y_avg,max_excess_1y_avg
2014,47,3.2127659574468086,-0.0059584893531094115,0.002144487352769902,0.01104687603186561,0.024062964718734092,0.02918532282904786,0.006443588862192635,-0.018526754191227277,-0.05371343685495601,-0.2338380742794672,0.37252931799655103,-0.22945062317992684,0.3243249504222442
2015,104,4.028846153846154,-0.01509440569882482,-0.02132844831258475,-0.027133364448026154,-0.03672508758572061,-0.06480471903302928,-0.057250357618488526,-0.010492876425223863,-0.010067953664827285,-0.28770628001868825,0.33430037525813405,-0.2419316366850929,0.3085770521780538
2016,116,3.956896551724138,0.0024298061010535406,-0.0026550728691657607,0.02919193662923873,0.008817803664430907,0.06562697378294623,0.018921728747329135,0.23762675095336547,0.08611718105817023,-0.15661476145744038,0.43797827810613127,-0.1690898582496921,0.3379490524452395
2017,62,2.2580645161290325,-0.011195694312272849,-0.05076864333998048,-0.0026412322628471966,-0.08179862020221255,0.017082760795646773,-0.08017600961062281,-0.030006951268185242,-0.088997498740981,-0.22550630371121957,0.30201720521055014,-0.26575472877610024,0.19559964482387768
2018,40,3.475,-0.0159144050162617,0.016914763687375205,-0.03406375176328554,0.0041177997822382535,-0.0958261870270584,-0.022692047959804437,-0.24082835483038165,-0.13003436426686946,-0.3165971653206521,0.14821435070812275,-0.1903481266345432,0.17981290941185551
2019,51,4.313725490196078,-0.019972862453974897,-0.039561381882865586,-0.07900616899718617,-0.07238910866071366,-0.11484498607785237,-0.08345472424398655,-0.05740201894938541,-0.15575053379422438,-0.3727855335000033,0.2001547389687298,-0.1568168546461493,0.1331234470375091
2020,66,3.1666666666666665,0.00010733229403639915,-0.04378584825207553,0.08078613203114057,-0.031776239167736746,0.23337381948244523,-0.01741389881096496,0.48520834026294785,0.04438840725656832,-0.18484695293043737,0.7393231131575523,-0.14033106453712266,0.3573248421405644
2021,57,3.6666666666666665,0.1317233186019623,0.10159586815474846,0.1405283460509846,0.12558977665475543,0.12481879020902437,0.14814612384837883,-0.04763505394694375,0.08928306718161584,-0.20514890310269007,0.40096380534368636,-0.08680136373387519,0.39723979553825406
2022,44,2.5681818181818183,-0.02266663264953174,0.02237021608243444,-0.015277055003194654,0.039130553911461884,-0.0676154815330574,0.004262317956066637,-0.027120584505817374,0.02904046025874484,-0.2459448333105745,0.23695799331956927,-0.13638213520760753,0.26509131550557247
2023,52,2.6538461538461537,-0.012771741384727048,-0.038113641025897475,-0.011689556057631157,-0.0550157584330609,-0.06801121430064785,-0.12841128820022585,-0.11371669108623951,-0.1673855438350255,-0.25403661813238965,0.233189277613973,-0.25396867691326086,0.17461882423784536
2024,56,4.732142857142857,-0.0437316621817545,-0.032244985554535525,-0.08200006163443511,-0.05972767839945293,-0.059529598743175184,-0.05164719440481064,0.06589775284103629,-0.184922762633942,-0.26259301614918346,0.33506632042287743,-0.20053930615694276,0.22848941643253048
2025,83,4.120481927710843,0.0444334391636554,-0.09195773307229864,0.10111065255976953,-0.18028853768556774,0.24050476974190158,-0.4215373317756842,0.4278074429288877,-0.9960198734465645,-0.11310854041676158,0.7420519419743902,-0.6035481141706792,-0.31750510318063285
2026,44,2.8636363636363638,0.10483530323382034,-0.20113177465556026,0.1403995672495249,-0.3566540306537927,0.2794958229517807,-0.8131215942940924,,,-0.1133244138229627,0.43446358796539375,-0.4783375318835791,-0.05276961367106214
