Date,Open,High,Low,Close,Volume,Change
2014-04-11,548.5,555.88,548.44,555.87,302354.0,
2014-04-14,557.35,562.05,557.32,562.04,281989.0,0.011099717559861055
2014-04-15,565.13,565.18,562.01,562.11,361928.0,0.0001245462956374066
2014-04-16,564.45,566.25,562.81,565.96,385313.0,0.006849193218409155
2014-04-17,568.8,569.03,565.75,565.75,386336.0,-0.0003710509576648757
2014-04-18,568.0,571.61,567.77,571.23,350594.0,0.009686257180733682
2014-04-21,573.05,573.06,569.28,569.28,339208.0,-0.0034136862559740466
2014-04-22,570.76,571.16,569.38,570.98,335429.0,0.0029862282181001287
2014-04-23,573.68,573.88,565.47,565.47,370974.0,-0.009650075309117656
2014-04-24,567.73,567.93,555.07,561.12,401551.0,-0.007692715793941374
2014-04-25,561.94,562.3,555.5,556.48,314134.0,-0.008269175933846573
2014-04-28,555.68,558.56,555.68,556.96,282641.0,0.0008625646923519081
2014-04-29,559.87,560.55,555.81,556.97,337012.0,1.7954610743942112e-05
2014-04-30,560.04,561.73,559.08,559.34,309987.0,0.00425516634648182
2014-05-02,561.68,562.06,558.08,558.66,291648.0,-0.0012157185254050296
2014-05-07,559.09,559.15,550.34,550.35,289226.0,-0.014874879175169053
2014-05-08,552.0,552.28,543.81,546.89,324839.0,-0.006286908331062158
2014-05-09,548.94,550.39,547.3,550.19,291441.0,0.00603412020698868
2014-05-12,551.85,551.99,550.52,551.4,345012.0,0.0021992402624546603
2014-05-13,554.45,557.44,554.41,557.16,334971.0,0.010446137105549536
2014-05-14,559.15,560.35,557.85,560.3,366363.0,0.005635724029004141
2014-05-15,561.69,562.77,560.62,561.75,433224.0,0.0025878993396395433
2014-05-16,561.5,561.54,556.62,557.59,393240.0,-0.007405429461504132
2014-05-19,559.57,559.62,546.24,546.81,387918.0,-0.019333201814953793
2014-05-20,548.09,548.73,538.65,542.96,406844.0,-0.007040836853751564
2014-05-21,542.88,547.05,542.72,545.59,282140.0,0.004843819065861288
2014-05-22,548.58,549.15,546.24,546.75,314632.0,0.002126138675562217
2014-05-23,549.1,550.07,548.63,549.7,279283.0,0.005395518975765956
2014-05-26,552.35,552.6,548.83,548.83,307957.0,-0.0015826814626159758
2014-05-27,550.66,550.78,543.15,547.97,349127.0,-0.0015669697356194279
2014-05-28,550.36,550.37,548.54,549.96,375913.0,0.003631585670748505
2014-05-29,551.06,551.17,548.91,549.61,307093.0,-0.000636409920721559
2014-05-30,551.07,551.07,546.31,546.53,339721.0,-0.005603973726824529
2014-06-02,546.81,546.82,535.07,535.15,303747.0,-0.020822278740416755
2014-06-03,535.19,535.43,526.65,531.28,271350.0,-0.007231617303559812
2014-06-05,531.45,531.96,522.06,523.12,258048.0,-0.015359132660743846
2014-06-09,525.16,526.67,520.89,524.03,231803.0,0.0017395626242544537
2014-06-10,525.27,532.65,525.27,532.64,238614.0,0.016430357040627452
