Date,Open,High,Low,Close,Volume,Change
2014-04-11,1985.28,1997.44,1985.16,1997.44,218126.0,
2014-04-14,1993.81,2001.0,1993.07,1997.02,205712.0,-0.0002102691445049487
2014-04-15,2008.49,2009.04,1990.34,1992.27,194527.0,-0.002378544030605556
2014-04-16,1994.31,1995.86,1986.25,1992.21,230740.0,-3.0116399885482537e-05
2014-04-17,2000.47,2001.29,1984.98,1992.05,200186.0,-8.03128184277968e-05
2014-04-18,1998.52,2005.22,1998.26,2004.28,206506.0,0.0061394041314224435
2014-04-21,2006.21,2006.95,1993.53,1999.22,205579.0,-0.0025245973616460082
2014-04-22,2000.94,2004.42,1991.47,2004.22,212020.0,0.002500975380398396
2014-04-23,2010.06,2013.09,1999.78,2000.37,241734.0,-0.001920946802247303
2014-04-24,2006.38,2007.17,1993.18,1998.34,235074.0,-0.0010148122597319897
2014-04-25,1996.61,1996.64,1971.66,1971.66,208364.0,-0.013351081397559916
2014-04-28,1969.04,1976.56,1969.04,1969.26,168833.0,-0.0012172484099692849
2014-04-29,1974.67,1976.17,1960.36,1964.77,177609.0,-0.002280044280592697
2014-04-30,1973.56,1974.33,1955.15,1961.79,227317.0,-0.001516716969416243
2014-05-02,1966.29,1968.5,1956.32,1959.44,179541.0,-0.0011978856044734254
2014-05-07,1964.19,1964.19,1939.55,1939.88,193040.0,-0.009982443963581389
2014-05-08,1945.94,1950.6,1934.72,1950.6,222431.0,0.005526115017423727
2014-05-09,1953.48,1958.34,1949.64,1956.55,205209.0,0.003050343484056306
2014-05-12,1956.26,1966.64,1950.91,1964.94,201643.0,0.004288160282129416
2014-05-13,1973.08,1988.41,1969.6,1982.93,242163.0,0.009155495842112282
2014-05-14,1990.99,2010.85,1990.79,2010.83,233871.0,0.01407008820281086
2014-05-15,2007.88,2015.37,2006.38,2010.2,259392.0,-0.0003133034617545105
2014-05-16,2003.48,2013.44,1997.27,2013.44,232529.0,0.0016117799223958063
2014-05-19,2013.79,2015.53,2002.89,2015.14,265596.0,0.0008443261284170056
2014-05-20,2011.85,2014.46,2004.32,2011.26,248337.0,-0.0019254245362605449
2014-05-21,2003.48,2015.63,2001.74,2008.33,224090.0,-0.0014567982259877654
2014-05-22,2015.41,2022.59,2011.6,2015.59,231079.0,0.0036149437592427613
2014-05-23,2013.09,2017.96,2011.76,2017.17,241806.0,0.0007838895807183999
2014-05-26,2016.21,2020.96,2008.14,2010.35,196575.0,-0.003380974335331244
2014-05-27,2014.87,2016.73,1988.44,1997.63,221791.0,-0.006327256447882124
2014-05-28,2000.26,2017.06,1997.89,2017.06,210650.0,0.009726525933230867
2014-05-29,2020.67,2021.96,2009.23,2012.26,228538.0,-0.0023797011491972775
2014-05-30,2015.37,2019.17,1994.96,1994.96,247324.0,-0.00859729855982827
2014-06-02,1998.81,2006.93,1995.69,2002.0,265590.0,0.0035288928098808903
2014-06-03,2006.31,2008.56,1990.72,2008.56,266745.0,0.003276723276723237
2014-06-05,2007.2,2007.2,1986.95,1995.48,211467.0,-0.006512128091767155
2014-06-09,2004.73,2008.86,1986.53,1990.04,209610.0,-0.0027261611241405914
2014-06-10,2000.89,2011.87,1996.21,2011.8,234933.0,0.0109344535788225
2014-06-11,2009.51,2016.78,2006.73,2014.67,238048.0,0.00142658315935984
2014-06-12,2013.6,2015.8,2003.57,2011.65,251876.0,-0.0014990047997934797
2014-06-13,2005.55,2005.55,1984.04,1990.85,223112.0,-0.010339770834886908
2014-06-16,1986.86,1995.86,1985.3,1993.59,233603.0,0.001376296556747203
2014-06-17,1994.89,2002.96,1991.53,2001.55,236597.0,0.0039927969141098085
2014-06-18,2002.26,2002.26,1987.03,1989.49,216850.0,-0.006025330368964021
2014-06-19,1994.23,1999.11,1985.89,1992.03,257886.0,0.0012767091063539127
2014-06-20,1990.71,1990.73,1965.12,1968.07,232659.0,-0.012027931306255457
2014-06-23,1975.1,1980.31,1971.61,1974.92,231738.0,0.0034805672562461254
2014-06-24,1976.24,1998.31,1976.24,1994.35,250605.0,0.009838373199926975
2014-06-25,1992.69,1993.6,1980.78,1981.77,336654.0,-0.006307819590342656
2014-06-26,1983.0,1997.08,1982.48,1995.05,273508.0,0.006701080347366162
2014-06-27,1990.9,1997.01,1983.88,1988.51,218844.0,-0.0032781133304929932
2014-06-30,1996.13,2002.21,1992.65,2002.21,201128.0,0.006889580640781379
2014-07-01,1993.29,1999.0,1987.89,1999.0,238870.0,-0.0016032284325819823
2014-07-02,2008.0,2016.36,2002.4,2015.28,318423.0,0.008144072036017969
2014-07-03,2015.99,2015.99,2007.86,2010.97,259913.0,-0.0021386606327656876
2014-07-04,2018.35,2018.35,2005.84,2009.66,241513.0,-0.0006514269233255376
2014-07-07,2007.53,2009.32,1998.03,2005.12,228338.0,-0.0022590886020521506
2014-07-08,2003.55,2009.22,1997.87,2006.66,259356.0,0.0007680338333866388
2014-07-09,1997.57,2000.89,1992.42,2000.5,272746.0,-0.0030697776404573496
2014-07-10,2004.63,2006.5,1999.96,2002.84,327639.0,0.0011697075731067486
2014-07-11,1988.93,1993.46,1985.53,1988.74,277018.0,-0.007040003195462385
2014-07-14,1998.26,2001.11,1993.57,1993.88,270389.0,0.002584551022255299
2014-07-15,2004.93,2015.54,2004.49,2012.72,361201.0,0.009448913675847992
2014-07-16,2015.67,2018.05,2008.99,2013.48,315167.0,0.0003775984737071081
2014-07-17,2020.52,2025.41,2018.77,2020.9,322694.0,0.003685162008065568
2014-07-18,2007.12,2019.42,2006.01,2019.42,304521.0,-0.0007323469741205013
2014-07-21,2028.02,2030.61,2016.42,2018.5,274627.0,-0.0004555763536064905
2014-07-22,2021.18,2028.93,2017.76,2028.93,265888.0,0.005167203368838358
2014-07-23,2032.73,2035.24,2025.0,2028.32,353510.0,-0.0003006510820975361
2014-07-24,2032.94,2034.72,2021.22,2026.62,323590.0,-0.0008381320501695821
2014-07-25,2030.04,2036.2,2027.33,2033.85,282769.0,0.0035675163572845836
2014-07-28,2035.96,2053.84,2035.96,2048.81,349018.0,0.007355508026648971
2014-07-29,2054.03,2065.96,2053.41,2061.97,408767.0,0.006423240808078656
2014-07-30,2064.47,2093.08,2062.88,2082.61,343285.0,0.010009844954097513
2014-07-31,2081.75,2090.57,2070.78,2076.12,383726.0,-0.0031162819731012092
2014-08-01,2063.71,2079.81,2062.54,2073.1,271966.0,-0.0014546365335337264
2014-08-04,2080.77,2083.05,2067.17,2080.42,253201.0,0.003530943996912894
2014-08-05,2076.17,2077.73,2058.92,2066.26,346821.0,-0.006806317955028285
2014-08-06,2062.93,2068.08,2055.68,2060.73,377266.0,-0.002676333084897453
2014-08-07,2062.24,2063.53,2047.75,2054.51,292935.0,-0.0030183478670179342
2014-08-08,2049.51,2051.06,2026.56,2031.1,354820.0,-0.011394444417403782
2014-08-11,2048.18,2048.18,2037.8,2039.37,285842.0,0.0040716852936832915
2014-08-12,2048.39,2055.85,2038.14,2041.47,312799.0,0.001029729769487675
2014-08-13,2046.68,2062.36,2043.11,2062.36,280663.0,0.010232822426976762
2014-08-14,2065.69,2073.42,2056.06,2063.22,270849.0,0.00041699800228856
2014-08-18,2070.95,2073.05,2053.13,2053.13,300419.0,-0.004890414013047462
2014-08-19,2065.19,2074.43,2064.34,2071.14,327122.0,0.008771972549229679
2014-08-20,2080.77,2082.21,2063.61,2072.78,315354.0,0.0007918344486612661
2014-08-21,2067.63,2068.22,2041.91,2044.21,307794.0,-0.013783421298931953
2014-08-22,2048.24,2058.46,2046.54,2056.7,277858.0,0.006109939781137941
2014-08-25,2049.16,2062.23,2044.2,2060.89,272044.0,0.00203724412894446
2014-08-26,2069.07,2072.42,2065.15,2068.05,288908.0,0.003474227154287801
2014-08-27,2075.45,2081.83,2070.77,2074.93,337612.0,0.003326805444742398
2014-08-28,2083.03,2088.86,2072.14,2075.76,305877.0,0.00040001349443130607
2014-08-29,2070.73,2073.03,2060.14,2068.54,301374.0,-0.0034782441129996844
2014-09-01,2067.8,2072.59,2062.3,2067.86,272468.0,-0.000328734276349385
2014-09-02,2065.97,2066.0,2049.15,2051.58,323115.0,-0.007872873405356362
2014-09-03,2050.09,2054.08,2040.44,2051.2,337971.0,-0.00018522309634527723
2014-09-04,2059.05,2065.27,2050.79,2056.26,376387.0,0.0024668486739471973
2014-09-05,2053.18,2059.04,2044.68,2049.41,343350.0,-0.0033312907900753252
2014-09-11,2046.97,2052.16,2034.13,2034.16,333410.0,-0.007441165994115262
2014-09-12,2042.51,2048.21,2037.37,2041.86,362672.0,0.0037853462854444686
2014-09-15,2039.03,2040.08,2028.8,2035.82,297605.0,-0.0029580872341884445
2014-09-16,2039.92,2045.65,2036.23,2042.92,365691.0,0.0034875381909993397
2014-09-17,2052.06,2062.62,2051.11,2062.61,351668.0,0.009638164979539177
2014-09-18,2058.21,2063.26,2044.17,2047.74,394273.0,-0.007209312473031804
2014-09-19,2057.56,2062.37,2053.66,2053.82,397737.0,0.002969126939943667
2014-09-22,2053.3,2053.3,2032.36,2039.27,323890.0,-0.007084359875743851
2014-09-23,2028.9,2036.25,2025.16,2028.91,427813.0,-0.0050802493048982544
2014-09-24,2024.75,2036.26,2019.91,2035.64,332585.0,0.0033170520131500236
2014-09-25,2045.66,2046.26,2030.09,2034.11,325374.0,-0.0007516063744081869
2014-09-26,2019.17,2031.65,2018.7,2031.64,313524.0,-0.0012142902792866561
2014-09-29,2035.93,2036.44,2021.37,2026.6,339587.0,-0.00248075446437368
2014-09-30,2023.18,2029.17,2007.3,2020.09,322812.0,-0.0032122767196289814
2014-10-01,2013.47,2013.47,1989.84,1991.54,351581.0,-0.014133033676717366
2014-10-02,1984.43,1985.06,1966.17,1976.16,322656.0,-0.0077226668809061705
2014-10-06,1987.89,1988.39,1968.3,1968.39,325078.0,-0.003931867864950145
2014-10-07,1979.83,1982.96,1966.22,1972.91,328234.0,0.0022962929094336726
2014-10-08,1957.9,1974.27,1957.9,1965.25,266180.0,-0.0038825896771773616
2014-10-10,1953.98,1953.98,1931.88,1940.92,342823.0,-0.01238010431242842
2014-10-13,1919.48,1932.37,1918.48,1927.21,308917.0,-0.007063660532118821
2014-10-14,1933.45,1940.21,1926.87,1929.25,335506.0,0.0010585250180312755
2014-10-15,1932.11,1938.85,1918.77,1925.91,310341.0,-0.0017312427108979733
2014-10-16,1911.45,1922.94,1904.77,1918.83,313610.0,-0.0036761842453697513
2014-10-17,1923.51,1923.51,1896.54,1900.66,362077.0,-0.009469312028684063
2014-10-20,1918.84,1933.12,1917.54,1930.06,344669.0,0.015468311007755142
2014-10-21,1923.62,1923.62,1911.03,1915.28,405921.0,-0.007657793021978554
2014-10-22,1936.91,1936.99,1924.21,1936.97,399095.0,0.011324714924188628
2014-10-23,1932.43,1944.45,1924.14,1931.65,372833.0,-0.0027465577680604314
2014-10-24,1942.46,1942.72,1916.84,1925.69,419427.0,-0.0030854450858074367
2014-10-27,1933.91,1939.25,1929.26,1931.97,408839.0,0.0032611687239378906
2014-10-28,1935.46,1936.28,1924.37,1925.68,414616.0,-0.003255744136813732
2014-10-29,1938.8,1961.49,1931.59,1961.17,396614.0,0.018429853350504732
