Date,Open,High,Low,Close,Volume,Change
2014-04-11,6637.0,6675.0,6540.0,6555.0,1056849.0,
2014-04-14,6525.0,6652.0,6427.0,6548.0,589604.0,-0.0010678871090770148
2014-04-15,6487.0,6585.0,6360.0,6420.0,971222.0,-0.019547953573610277
2014-04-16,6435.0,6480.0,6337.0,6375.0,593872.0,-0.007009345794392496
2014-04-17,6382.0,6382.0,6105.0,6143.0,1120730.0,-0.036392156862745106
2014-04-18,6157.0,6202.0,5955.0,6105.0,728145.0,-0.006185902653426667
2014-04-21,6090.0,6097.0,5264.0,5528.0,2483412.0,-0.0945126945126945
2014-04-22,5534.0,5872.0,5460.0,5753.0,990463.0,0.04070188133140373
2014-04-23,5737.0,5737.0,5610.0,5655.0,417210.0,-0.01703459064835733
2014-04-24,5670.0,5767.0,5565.0,5573.0,507387.0,-0.014500442086649024
2014-04-25,5557.0,5692.0,5250.0,5280.0,1231662.0,-0.052574914767629655
2014-04-28,5272.0,5272.0,4597.0,4710.0,2430489.0,-0.10795454545454541
2014-04-29,4672.0,4867.0,4620.0,4650.0,1425211.0,-0.01273885350318471
2014-04-30,4815.0,5347.0,4807.0,5160.0,4963746.0,0.10967741935483866
2014-05-02,5077.0,5767.0,5017.0,5295.0,10999100.0,0.026162790697674465
2014-05-07,5250.0,5280.0,4507.0,4508.0,5086987.0,-0.14863078375826255
2014-05-08,4447.0,5145.0,4057.0,5003.0,19230503.0,0.1098047914818101
2014-05-09,5002.0,5587.0,4845.0,5213.0,11816895.0,0.04197481511093337
2014-05-12,5295.0,5482.0,5175.0,5258.0,4027326.0,0.00863226549012075
2014-05-13,5310.0,5317.0,5002.0,5220.0,3067932.0,-0.007227082540890106
2014-05-14,5250.0,5400.0,5100.0,5190.0,2899892.0,-0.005747126436781658
2014-05-15,5122.0,5250.0,4897.0,5033.0,2731067.0,-0.030250481695568432
2014-05-16,4972.0,5092.0,4687.0,5093.0,3529141.0,0.011921319292668375
2014-05-19,5850.0,5850.0,5205.0,5460.0,24535624.0,0.072059689770273
2014-05-20,5370.0,5527.0,5167.0,5460.0,4498770.0,0.0
2014-05-21,5460.0,5475.0,5325.0,5325.0,1833450.0,-0.02472527472527475
2014-05-22,5265.0,5340.0,5100.0,5123.0,2938143.0,-0.03793427230046953
2014-05-23,5032.0,5415.0,5010.0,5220.0,2798934.0,0.018934218231504873
2014-05-26,5325.0,5370.0,5205.0,5243.0,1670136.0,0.004406130268199249
2014-05-27,5287.0,5287.0,5055.0,5055.0,2076991.0,-0.03585733358764065
2014-05-28,5062.0,5190.0,4980.0,5063.0,1513633.0,0.001582591493570762
2014-05-29,4995.0,5317.0,4402.0,4650.0,8569695.0,-0.0815721904009481
2014-05-30,4590.0,4755.0,4590.0,4725.0,1865823.0,0.016129032258064502
2014-06-02,4732.0,4747.0,4380.0,4388.0,2417638.0,-0.07132275132275134
2014-06-03,4297.0,4470.0,4147.0,4148.0,2900217.0,-0.054694621695533296
2014-06-05,4132.0,4552.0,4117.0,4485.0,4262083.0,0.08124397299903574
2014-06-09,4590.0,4620.0,4395.0,4493.0,1168806.0,0.0017837235228539416
2014-06-10,4530.0,4875.0,4462.0,4718.0,2897927.0,0.050077898953928335
2014-06-11,4717.0,4837.0,4672.0,4778.0,1057033.0,0.012717253073336154
2014-06-12,4777.0,4845.0,4590.0,4733.0,1405414.0,-0.009418166596902422
2014-06-13,4672.0,4725.0,4597.0,4703.0,640573.0,-0.006338474540460548
2014-06-16,4657.0,4732.0,4612.0,4703.0,450343.0,0.0
2014-06-17,4695.0,4717.0,4590.0,4598.0,819325.0,-0.02232617478205401
2014-06-18,4650.0,4732.0,4605.0,4620.0,1280409.0,0.004784688995215225
2014-06-19,4605.0,4665.0,4455.0,4478.0,1115738.0,-0.030735930735930728
2014-06-20,4462.0,4537.0,4342.0,4530.0,1053478.0,0.011612326931665917
2014-06-23,4500.0,4590.0,4380.0,4395.0,830230.0,-0.0298013245033113
2014-06-24,4365.0,4477.0,4290.0,4350.0,817415.0,-0.010238907849829393
2014-06-25,4470.0,4537.0,4305.0,4410.0,826219.0,0.01379310344827589
2014-06-26,4357.0,4492.0,4305.0,4410.0,947446.0,0.0
2014-06-27,4357.0,4455.0,4335.0,4365.0,534802.0,-0.010204081632653073
2014-06-30,4380.0,4500.0,4350.0,4410.0,712516.0,0.010309278350515427
2014-07-01,4410.0,4522.0,4365.0,4433.0,719113.0,0.0052154195011338
2014-07-02,4447.0,4515.0,4387.0,4515.0,783317.0,0.01849763140085714
2014-07-03,4522.0,4980.0,4522.0,4710.0,3512160.0,0.04318936877076407
2014-07-04,4755.0,4755.0,4605.0,4740.0,1253680.0,0.006369426751592355
2014-07-07,4860.0,4860.0,4665.0,4733.0,991544.0,-0.0014767932489451185
2014-07-08,4800.0,5437.0,4762.0,5220.0,10649516.0,0.10289457004014357
2014-07-09,5145.0,5227.0,4920.0,5010.0,3538707.0,-0.04022988505747127
2014-07-10,5010.0,5017.0,4695.0,4815.0,3147250.0,-0.038922155688622784
2014-07-11,4830.0,5205.0,4830.0,5040.0,3875636.0,0.04672897196261672
2014-07-14,5055.0,5295.0,5047.0,5048.0,2704813.0,0.0015873015873015817
2014-07-15,5130.0,5167.0,4800.0,4913.0,2829976.0,-0.026743264659271015
2014-07-16,4920.0,4980.0,4785.0,4928.0,1354033.0,0.003053124363932458
2014-07-17,5100.0,5160.0,4800.0,4823.0,2740616.0,-0.021306818181818232
2014-07-18,4725.0,4837.0,4620.0,4778.0,1585274.0,-0.009330292349160274
