회사명후보,기사수,최초날짜,최종날짜,대표제목
현대중공업,182,2012-10-22,2022-01-13,"[모닝터치R]현대중공업, 구조조정 성공 여부에 주목 - KDB대우증권"
국민은행,177,2010-07-29,2021-02-04,국민은행장 “인력 구조조정은 합당한 방법 아냐”
한국GM,168,2012-05-30,2026-05-31,한국GM 사무직 희망퇴직
이마트,136,2011-10-10,2026-04-06,"이마트, 텐진 5개점 문닫아 강도 높은 사업 구조조정"
대우조선,117,2015-07-21,2022-09-26,"최종구 ""대우조선, 인력 구조조정 필요성 크지 않다"""
LG디스플레이,112,2011-11-23,2026-06-25,"LGD, 조직개편 단행..""인적 구조조정은 없다"""
KT,106,2010-01-08,2026-03-30,"KT, 오늘부터 일선 지사장 대상 희망퇴직 접수 상무보 최소 50명 이상 옷 벗는다"
현대제철,93,2015-05-06,2026-01-21,"현대제철, 임단협 장기화에 희망퇴직까지 '추운 겨울'"
홈플러스,92,2013-01-15,2026-06-11,대형마트 규제 불똥 홈플러스 희망퇴직 실시
아시아나항공,81,2010-04-06,2020-12-03,아시아나항공 좌석 구조조정
신한은행,72,2014-01-12,2025-12-12,"신한은행, 부지점장급 이상 희망퇴직"
씨티은행,71,2010-11-26,2022-04-29,박진회 한국씨티은행장 “추가 구조조정 없을 것”
포스코,70,2011-06-28,2024-10-17,"포스코, 비핵심 사업 재편 계열사 구조조정 박차"
KB국민은행,64,2010-08-09,2024-12-26,"KB국민은행, 직원 3000여명에게 희망퇴직 권고 논란"
LG전자,63,2012-03-12,2026-04-14,"LG전자, PDP사업 구조조정 가속화"
롯데쇼핑,62,2015-07-22,2024-12-13,"롯데쇼핑, 구조조정 지속으로 수익성 개선-하이투자"
대한항공,58,2011-10-18,2026-05-14,"대한항공, 체코항공 구조조정은 긍정적으로 작용할 것-이트레이드"
아모레퍼시픽,57,2020-03-04,2026-01-07,"아모레퍼시픽, 반강제성 구조조정 논란 “희망퇴직 거부하니 괴롭혀”"
신한카드,56,2013-11-11,2026-04-23,신한카드 3년만에 희망퇴직 실시
르노삼성,56,2012-08-10,2021-01-25,"르노삼성, 희망퇴직 신청자 20여명 그쳐"
LG화학,51,2016-05-04,2026-04-16,"LG화학, 석유화학 구조조정 선제대응 나서"
이스타항공,50,2019-09-17,2020-10-14,"이스타항공, 매각설 일축 항공업계 ""2~3곳 구조조정 불가피"""
롯데케미칼,47,2015-09-16,2026-04-10,사업 구조조정 나선 롯데케미칼
하나은행,44,2011-08-19,2026-06-23,"하나은행, 희망퇴직 추진"
STX조선해양,42,2013-04-03,2020-06-30,"STX조선, 3차 구조조정 돌입"
우리은행,40,2014-03-12,2026-01-08,"우리은행, STX조선 구조조정 빠진다...정상화 작업 차질"
대우조선해양,40,2013-07-16,2021-01-13,"대우조선해양, 계열사 구조조정 착수"
롯데온,37,2024-06-05,2026-06-16,"롯데온, 2차 희망퇴직 진행 6개월 만에 또다시 인력조정"
금호타이어,37,2010-02-02,2025-05-28,"금호타이어, 다음주 구조조정 착수"
두산인프라코어,37,2014-07-28,2017-08-08,"두산인프라코어, 구조조정 효과 발현..목표가 상향-대우"
푸르밀,37,2022-10-28,2022-11-18,푸르밀 희망퇴직 전주공장 실직 도미노 우려
르노삼성차,36,2012-08-10,2021-03-03,"르노삼성차 희망퇴직, 기간 연장 대상 확대"
유암코,35,2015-10-07,2024-05-30,"유암코, 구조조정 2차PEF 조성 나서 최소 1000억 이상 예상"
현대증권,35,2014-06-11,2016-11-30,현대증권 구조조정 먼저 나간 직원만 ‘봉’
롯데마트,35,2019-11-20,2026-04-29,"[사설]롯데마트, 구조조정이 최선일까"
엔씨소프트,33,2012-06-13,2025-01-23,"엔씨소프트, 구조조정 여파로 2분기 적자-한화"
KB손보,33,2015-06-24,2024-07-31,"""200~300명 희망퇴직 저지"" KB손보 노조 투쟁선포식"
한진해운,33,2011-11-23,2016-11-03,"한진해운, 지배구조 변화에 따른 신속한 구조조정"
대신증권,33,2010-06-08,2016-06-15,"대신증권, 창사 후 첫 희망퇴직 302명 결정 정규직 16.6%"
LG생활건강,32,2023-06-02,2026-03-03,"LG생활건강 자회사 코카콜라음료, 첫 희망퇴직 단행"
11번가,32,2023-11-27,2026-07-06,희망퇴직에 전환배치까지 11번가 “전방위 비용 감축”
하이트진로,31,2012-11-28,2022-11-03,"하이트진로, 희망퇴직 실시키로"
두산,30,2013-02-08,2021-12-06,"두산, 실적 개선과 구조조정 효과 기대-KTB"
롯데백화점,29,2020-11-10,2021-10-17,롯데백화점 첫 희망퇴직 500명 신청 인력 구조 재편
삼성증권,28,2012-01-31,2015-02-17,"삼성증권, 구조조정 여파..임원 자릿수도 축소"
카카오,27,2022-03-21,2026-05-15,"김범수 석방 '카카오', 연내 5개 이상 법인 추가 구조조정 검토"
메리츠화재,27,2014-04-15,2024-06-06,"메리츠화재, ""인위적 인력감축 없어"""
롯데하이마트,24,2020-03-08,2023-12-05,"""롯데하이마트, 구조조정 효과와 함께 실적 턴어라운드 가능할 것"""
