회사명,이벤트수,최초이벤트일,최종이벤트일,match_status,종목코드,상장사명,시장,업종,상장일,상장폐지일,상장폐지사유,검수결과,검수메모
포스코,25,2011-06-28,2024-10-17,current_exact,005490,POSCO홀딩스,KOSPI,,,,,,
한국GM,23,2012-05-30,2026-05-31,exclude,,,,,,,,,
이마트,21,2011-10-10,2026-04-06,current_exact,139480,이마트,KOSPI,,,,,,
LG디스플레이,19,2011-11-23,2026-06-25,current_exact,034220,LG디스플레이,KOSPI,,,,,,
현대중공업,19,2012-10-22,2022-01-13,current_exact,009540,HD한국조선해양,KOSPI,,,,,,
KT,18,2010-01-08,2026-03-30,current_exact,030200,KT,KOSPI,,,,,,
롯데쇼핑,17,2015-07-22,2024-12-13,current_exact,023530,롯데쇼핑,KOSPI,,,,,,
두산,15,2013-02-08,2021-12-06,current_exact,000150,두산,KOSPI,,,,,,
신한은행,15,2014-01-12,2025-12-12,current_exact,055550,신한지주,KOSPI,,,,,,
현대제철,15,2015-05-06,2026-01-20,current_exact,004020,현대제철,KOSPI,,,,,,
LG전자,14,2012-03-12,2026-04-14,current_exact,066570,LG전자,KOSPI,,,,,,
국민은행,14,2010-07-29,2021-01-20,current_exact,105560,KB금융,KOSPI,,,,,,
대우조선,14,2015-07-21,2022-09-26,current_exact,042660,한화오션,KOSPI,,,,,,
대한항공,14,2011-10-18,2026-05-14,current_exact,003490,대한항공,KOSPI,,,,,,
KB국민은행,13,2010-08-09,2024-12-26,current_exact,105560,KB금융,KOSPI,,,,,,
LG화학,12,2016-05-04,2026-04-08,current_exact,051910,LG화학,KOSPI,,,,,,
대우조선해양,12,2013-07-16,2021-01-08,current_exact,042660,한화오션,KOSPI,,,,,,
동국제강,12,2012-06-14,2025-07-25,current_exact,460860,동국제강,KOSPI,,,,,,
롯데케미칼,12,2015-09-16,2025-11-05,current_exact,011170,롯데케미칼,KOSPI,,,,,,
씨티은행,12,2010-11-26,2022-04-28,exclude,,,,,,,,,
아시아나항공,12,2010-04-06,2020-11-02,current_exact,020560,아시아나항공,KOSPI,,,,,,
홈플러스,12,2013-01-15,2026-05-08,exclude,,,,,,,,,
GS리테일,11,2014-09-30,2026-06-23,current_exact,007070,GS리테일,KOSPI,,,,,,
두산그룹,11,2011-03-23,2022-08-16,current_exact,000150,두산,KOSPI,,,,,,
신한카드,11,2013-11-11,2026-04-23,current_exact,055550,신한지주,KOSPI,,,,,,
우리은행,11,2014-03-12,2026-01-07,delisted_exact,000030,우리은행,KOSPI,은행,2014-11-19,2019-02-13,지주회사(최대주주등)의 완전자회사화 등,,
카카오,11,2022-03-21,2026-05-15,current_exact,035720,카카오,KOSPI,,,,,,
하나은행,11,2011-08-19,2026-06-23,current_exact,086790,하나금융지주,KOSPI,,,,,,
SKC,10,2010-09-17,2026-03-16,current_exact,011790,SKC,KOSPI,,,,,,
STX조선해양,10,2013-04-03,2020-06-29,delisted_exact,067250,STX조선해양,KOSPI,운송장비·부품,2003-10-27,2014-04-15,자본전액잠식,,
삼성물산,10,2014-04-03,2020-02-11,current_exact,028260,삼성물산,KOSPI,,,,,,
아모레퍼시픽,10,2020-03-04,2025-12-05,current_exact,090430,아모레퍼시픽,KOSPI,,,,,,
OCI,9,2011-11-07,2020-04-29,current_exact,456040,OCI,KOSPI,,,,,,
두산인프라코어,9,2014-07-28,2017-08-08,delisted_exact,042670,HD현대인프라코어,KOSPI,기계·장비,2001-02-02,2026-01-26,해산 사유 발생,,
르노삼성차,9,2012-08-10,2021-01-20,exclude,,,,,,,,,
삼성,9,2010-04-28,2024-10-02,exclude,,,,,,,,,
