회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
11번가,2023-11-27,2023-12-04,17,16,"구조조정,희망퇴직","11번가, 창사 이래 첫 희망퇴직 받는다"
11번가,2024-03-25,2024-04-02,7,7,희망퇴직,"11번가, 올 들어 두번째 희망퇴직 단행...""전 직원 대상"""
11번가,2025-08-19,2025-08-19,5,5,"구조조정,희망퇴직","11번가, 희망퇴직 지속...M&A 대비 경영 효율화 포석"
11번가,2026-07-06,2026-07-06,3,3,희망퇴직,"11번가, 희망퇴직 시행 최대 10개월치 급여 지급"
3H,2011-03-09,2011-03-09,1,1,구조조정,"3H, 구조조정 완료..신규사업 추진"
AB인베브,2016-08-26,2016-08-26,1,1,구조조정,"AB인베브, 사브밀러 인수하며 인력 구조조정 돌입"
AIG손보,2015-12-14,2015-12-14,1,1,구조조정,"[단독]AIG손보, 대규모 구조조정 본격화...차세대시스템 도입으로 불가피"
AJ네트웍스,2022-05-25,2022-05-25,1,1,구조조정,"AJ네트웍스, 외형 성장 자회사 구조조정 효과로 수익성 개선-유진"
AJ네트웍스,2023-02-06,2023-02-06,1,1,구조조정,"AJ네트웍스, 구조조정 마무리 수순.. 렌탈 사업 확대 박차"
BC카드,2011-12-20,2011-12-20,1,1,희망퇴직,"BC카드, 10년 만에 희망퇴직"
BC카드,2016-12-28,2016-12-28,1,1,희망퇴직,"BC카드, 5년만에 희망퇴직 실시"
BGF리테일,2025-11-10,2025-11-10,1,1,구조조정,"[리포트 브리핑]BGF리테일, '2026년 업계 구조조정 효과 기대' 목표가 150,000원 - 대신증권"
BGF리테일,2026-01-08,2026-01-08,1,1,구조조정,"[리포트 브리핑]BGF리테일, '26년은 소비 회복과 업계 구조조정 효과 기대해 볼만' 목표가 150,000원 - 대신증권"
BNK금융지주,2016-05-01,2016-05-12,6,6,구조조정,"[금융인사이드]BNK금융, 조선 해운업 구조조정에 ‘좌불안석’"
BNK금융지주,2016-07-01,2016-07-01,5,5,구조조정,"BNK금융, ‘조선업 구조조정 피해기업 특례보증부 대출’ 지원"
