회사명,종목코드,이벤트시작일,시장,match_status,기사수,키워드종류,대표제목,baseline_stock,baseline_index,price_30d,return_30d,idx_price_30d,idx_return_30d,excess_30d,price_60d,return_60d,idx_price_60d,idx_return_60d,excess_60d,price_90d,return_90d,idx_price_90d,idx_return_90d,excess_90d,price_180d,return_180d,idx_price_180d,idx_return_180d,excess_180d,price_365d,return_365d,idx_price_365d,idx_return_365d,excess_365d,min_price_1y,min_return_1y,min_days_1y,min_excess_1y,max_price_1y,max_return_1y,max_days_1y,max_excess_1y,상장폐지일,상장폐지사유,is_bankrupt_delist
AJ네트웍스,095570,2022-05-25,KOSPI,current_exact,1,구조조정,"AJ네트웍스, 외형 성장 자회사 구조조정 효과로 수익성 개선-유진",6256.166666666667,2679.8151666666668,6380.0,0.019793803447265335,2366.6,-0.11687939174411976,0.1366731951913851,7030.0,0.12369129125929068,2403.69,-0.10303888495792402,0.2267301762172147,8300.0,0.3266909982150943,2435.34,-0.09122836892171227,0.41791936713680655,6190.0,-0.010576231451634444,2419.5,-0.09713922434078326,0.08656299288914882,4415.0,-0.2942962943229347,2554.69,-0.046691715243296295,-0.2476045790796384,4410.0,-0.29509550576764265,362.0,-0.2492956430781076,8390.0,0.34107680421983644,86.0,0.41090444345192034,,,False
AJ네트웍스,095570,2023-02-06,KOSPI,current_exact,1,구조조정,"AJ네트웍스, 구조조정 마무리 수순.. 렌탈 사업 확대 박차",6019.833333333333,2388.313833333333,5400.0,-0.10296519837204787,2431.91,0.018253952247900385,-0.12121915061994826,4660.0,-0.2258921897062488,2490.41,0.04274822062399264,-0.26864041033024144,4655.0,-0.22672277748553393,2513.21,0.052294704709033635,-0.27901748219456757,4340.0,-0.2790498075804978,2580.71,0.08055732206606292,-0.3596071296465607,4735.0,-0.21343337301697163,2576.2,0.078668960521171,-0.29210233353814263,3635.0,-0.3961626844597026,256.0,-0.39058810998480986,6740.0,0.1196323264763699,0.0,0.09874890405065972,,,False
BGF리테일,282330,2025-11-10,KOSPI,current_exact,1,구조조정,"[리포트 브리핑]BGF리테일, '2026년 업계 구조조정 효과 기대' 목표가 150,000원 - 대신증권",110308.33333333333,3507.0688333333337,109700.0,-0.005514844753342851,4135.0,0.17904728892071442,-0.18456213367405727,103400.0,-0.06262748356878445,4586.32,0.3077359521457921,-0.3703634357145765,123300.0,0.11777593110221352,5298.04,0.5106746550407502,-0.39289872393853664,132700.0,0.20299161441414215,7822.24,1.2304210073245874,-1.0274293929104452,,,,,,102000.0,-0.07531918108332702,58.0,-0.3730011532031595,147800.0,0.3398806376067085,150.0,-0.3076518958532135,,,False
BGF리테일,282330,2026-01-08,KOSPI,current_exact,1,구조조정,"[리포트 브리핑]BGF리테일, '26년은 소비 회복과 업계 구조조정 효과 기대해 볼만' 목표가 150,000원 - 대신증권",107833.33333333333,4031.3450000000003,123300.0,0.14343122102009276,5298.04,0.31421151005433656,-0.1707802890342438,115500.0,0.07109737248840808,5251.87,0.30275875669286534,-0.23166138420445725,133600.0,0.2389489953632149,5872.34,0.45667016839293084,-0.21772117302971594,,,,,,,,,,,102300.0,-0.05131375579598141,0.0,-0.18055722168639743,147800.0,0.37063369397217927,91.0,-0.06263733591982934,,,False
BNK금융지주,138930,2016-05-01,KOSPI,current_exact,6,구조조정,"[금융인사이드]BNK금융, 조선 해운업 구조조정에 ‘좌불안석’",9169.666666666666,1960.290833333333,8750.0,-0.045766839943291227,1983.4,0.011788641906452124,-0.05755548184974335,8070.0,-0.11992438838198405,1970.35,0.005131466461821832,-0.12505585484380588,8980.0,-0.020684139736086293,2029.61,0.0353616746494676,-0.056045814385553894,9420.0,0.02730015631247973,2019.42,0.030163466390404015,-0.002863310077924286,9570.0,0.04365843905630884,2219.67,0.1323166757993821,-0.08865823674307327,7850.0,-0.143916536406267,66.0,-0.14025849076763097,9720.0,0.06001672180013817,176.0,0.015406419502307145,,,False
BNK금융지주,138930,2016-07-01,KOSPI,current_exact,5,구조조정,"BNK금융, ‘조선업 구조조정 피해기업 특례보증부 대출’ 지원",8850.833333333334,1980.016166666667,8980.0,0.014593729404010825,2029.61,0.025047186062537863,-0.010453456658527038,8860.0,0.0010356840222200958,2039.74,0.03016330590566718,-0.029127621883447086,8620.0,-0.026080406741361473,2068.72,0.044799550037343705,-0.07087995677870518,8770.0,-0.009132850014123006,2024.49,0.02246134858999871,-0.031594198604121715,10750.0,0.21457489878542502,2394.48,0.2093234592276476,0.005251439557777404,7850.0,-0.11307786460785241,5.0,-0.09949405296052305,10950.0,0.2371716410884097,363.0,0.027252227130762918,,,False
BNK금융지주,138930,2019-07-29,KOSPI,current_exact,2,구조조정,"BNK금융, 유암코와 부울경 기업 구조조정 지원한다",7216.833333333333,2092.6825,6430.0,-0.10902750513844939,1941.09,-0.07243932130172637,-0.03658818383672302,7070.0,-0.020345950439943583,2049.93,-0.020429520483876584,8.357004393300116e-05,7040.0,-0.02450289831643604,2093.6,0.00043843249035635523,-0.024941330806792394,6910.0,-0.04251633911457009,2176.72,0.04015778791097069,-0.08267412702554078,5120.0,-0.29054756241195345,2256.99,0.07851525494192257,-0.369062817353876,3650.0,-0.494238008360084,238.0,-0.20263978454925757,7890.0,0.09327729151751707,144.0,0.03999758950825383,,,False
BNK금융지주,138930,2020-12-09,KOSPI,current_exact,5,희망퇴직,"BNK금융, 10년 이상 근무직원 대상 희망퇴직 진행",5563.166666666667,2445.540333333333,5780.0,0.03897660205518427,3152.18,0.28895032195338977,-0.2499737198982055,5810.0,0.04436921417657813,3091.24,0.2640314935172474,-0.2196622793406693,6590.0,0.184577129332814,2976.12,0.21695805194244078,-0.03238092260962677,8000.0,0.43802989903831735,3252.12,0.32981654633652213,0.10821335270179522,8740.0,0.5710476646993619,3029.57,0.2388141625415845,0.33223350215777736,5510.0,-0.009556907037358897,51.0,-0.2265517606627543,9170.0,0.6483417717726714,320.0,0.4132200447541976,,,False
BNK금융지주,138930,2025-12-17,KOSPI,current_exact,1,희망퇴직,[단독] BNK금융도 짐 싼다 지방은행 희망퇴직 행렬 가세,14806.333333333334,3869.079833333334,14940.0,0.009027668340124695,4840.74,0.2511346905523917,-0.242107022212267,22150.0,0.49598144937976985,5677.25,0.467338551944241,0.028642897435528836,18480.0,0.24811454557734303,5640.48,0.45783500030304314,-0.2097204547257001,18020.0,0.21704675926968187,8545.98,1.2087887477466106,-0.9917419884769287,,,,,,14800.0,-0.0004277448839461462,33.0,-0.2680831594207097,22650.0,0.5297507823228798,65.0,0.02848168212037283,,,False
CJ,001040,2019-03-20,KOSPI,current_exact,1,구조조정,"CJ, 中외식사업 구조조정",122414.28333333334,2138.074833333333,123000.0,0.0047847085382328736,2216.15,0.03651657343767756,-0.031731864899444684,103500.0,-0.15451042818124305,2055.71,-0.03852289548019394,-0.11598753270104911,102500.0,-0.16267940955147264,2098.71,-0.01841134497241237,-0.14426806457906027,84300.0,-0.31135487048965016,2062.22,-0.03547810027541132,-0.27587677021423884,55300.0,-0.5482553302263067,1457.64,-0.31824650041482005,-0.23000882981148663,55300.0,-0.5482553302263067,365.0,-0.23000882981148663,131000.0,0.07013655950006914,0.0,0.05188408018631874,,,False
