Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
343090,HLB사이언스,KONEX,주권,2020-04-24,2026-01-16,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
183350,LPK로보틱스,KONEX,주권,2013-10-11,2020-06-17,"외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)",-,,,FinanceDataReader.StockListing(KRX-DELISTING)
232290,SGA시스템즈,KONEX,주권,2016-03-30,2017-12-22,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
224880,SGA클라우드서비스,KONEX,주권,2017-05-23,2021-05-06,분산요건 미달,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
194860,SY이노베이션,KONEX,주권,2014-04-25,2017-04-12,감사의견 거절(감사범위제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
284610,TS트릴리온,KONEX,주권,2017-12-22,2020-12-30,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
183410,골프존데카,KONEX,주권,2013-11-12,2024-02-22,타법인의 완전자회사로 편입,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
329050,구스앤홈,KONEX,주권,2019-07-12,2021-04-13,사업보고서 법정제출기한('21.3.31限)내 미제출,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
272420,극동자동화,KONEX,주권,2017-06-28,2018-11-15,상장폐지 신청('18.11.5),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
165270,금오하이텍,KONEX,주권,2013-12-10,2017-06-07,최종부도 발생,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
456700,길교이앤씨,KONEX,주권,2023-07-26,2025-12-16,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
288490,나라소프트,KONEX,주권,2018-11-23,2026-02-09,지정자문인 선임계약 해지 후 30일 이내 미체결,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
167380,나무기술,KONEX,주권,2016-11-28,2018-12-11,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
257990,나우코스,KONEX,주권,2020-12-30,2026-06-01,타법인의 완전자회사로 편입,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
192240,나이코,KONEX,주권,2014-02-28,2016-12-23,상장폐지 신청('16.12.9),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
283100,노보믹스,KONEX,주권,2023-04-19,2025-05-28,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
063840,닉스테크,KONEX,주권,2013-11-12,2016-04-12,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
204690,다린,KONEX,주권,2014-09-18,2017-08-02,상장폐지 신청('17.07.28),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
086080,다이노나,KONEX,주권,2018-05-08,2021-11-22,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
271850,다이오진,KONEX,주권,2017-06-19,2023-04-12,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.29 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
311840,대원모방,KONEX,주권,2018-12-27,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
348840,데이드림엔터,KONEX,주권,2020-08-18,2023-08-10,상장폐지 신청,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
220110,드림티엔터테인먼트,KONEX,주권,2015-06-24,2020-04-10,사업보고서 법정제출기한('20.3.30限)내 미제출,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
207230,디와이엘엔제이,KONEX,주권,2015-09-14,2016-07-26,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2016.07.12限) 지정자문인 선임계약 미체결,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
189700,디피앤케이,KONEX,주권,2014-06-10,2017-08-31,지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
163430,디피코,KONEX,주권,2018-05-16,2024-06-18,'22사업연도 감사의견 의견거절 및 '23사업연도 사업보고서 미제출,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
285770,라이프사이언스테크놀로지,KONEX,주권,2017-12-21,2023-06-12,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
267060,명진홀딩스,KONEX,주권,2017-08-24,2023-04-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.4.4 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
135160,무송지오씨,KONEX,주권,2015-12-28,2023-05-02,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
233190,미래자원엠엘,KONEX,주권,2015-12-24,2017-12-28,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
225850,미애부,KONEX,주권,2015-12-08,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
281310,바이오시네틱스,KONEX,주권,2017-12-15,2023-06-12,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
322190,베른,KONEX,주권,2020-12-29,2024-04-25,감사의견 의견거절(감사범위제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
242420,본느,KONEX,주권,2016-05-16,2018-10-29,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
156170,비앤에스미디어,KONEX,주권,2013-07-01,2017-07-13,지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
215050,비엔디생활건강,KONEX,주권,2015-03-30,2023-04-21,감사의견 의견거절(감사범위제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
271780,비엔에프코퍼레이션,KONEX,주권,2018-11-30,2020-11-05,상장폐지 신청('20.10.13),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
199870,세기리텍,KONEX,주권,2015-12-24,2018-03-28,지정자문인 선임계약 해지후 30일이내 미체결(18.3.14限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
110660,세신버팔로,KONEX,주권,2014-12-08,2018-10-11,지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
135270,세종머티리얼즈,KONEX,주권,2014-12-17,2019-10-02,파산선고에 따른 해산사유 발생,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
085980,세화피앤씨,KONEX,주권,2013-09-25,2017-09-19,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
